Temperature_C,Heart_Rate_BPM,Vomiting,Diarrhea,Lethargy,Pain_Vocalization,Pale_Gums,Seizure,Abdominal_Distension,Urgency_Level
38.9,84,0,1,1,0,1,0,0,2
39.4,121,0,1,1,0,0,0,0,0
37.7,86,0,1,0,0,0,0,0,0
38.5,81,1,1,0,0,1,0,0,2
39.8,103,1,0,0,0,0,0,0,1
39.2,60,0,1,1,0,0,0,0,0
39.0,77,0,0,0,0,0,0,0,0
37.7,84,1,0,1,0,0,0,0,1
37.7,116,1,0,1,0,0,0,0,1
38.0,85,0,1,1,1,0,0,0,1
37.2,69,0,1,0,0,0,0,0,0
36.4,119,0,0,0,0,0,0,0,2
37.6,114,0,1,1,0,0,0,0,0
39.3,70,0,0,1,0,0,0,0,0
38.8,117,0,1,0,0,0,0,0,0
38.9,76,0,0,0,0,0,0,0,0
38.5,109,0,0,1,0,0,0,0,0
39.2,92,0,0,1,0,0,0,0,0
38.7,73,0,1,0,0,0,0,0,0
38.3,73,0,0,1,0,0,0,0,0
38.2,119,1,0,0,0,0,0,0,0
38.8,102,0,0,0,0,0,0,0,0
39.8,119,0,0,0,0,1,0,0,2
40.3,79,0,1,0,0,0,0,0,1
38.7,89,0,0,1,0,0,0,0,0
37.4,90,1,0,1,0,0,0,0,1
38.1,66,1,1,0,0,0,0,0,1
39.7,89,0,0,0,1,0,0,0,1
38.0,101,0,0,0,0,0,0,0,0
38.0,154,0,1,1,0,0,0,0,0
40.0,81,0,1,1,0,0,0,0,1
40.2,47,0,0,0,0,0,0,0,1
38.0,129,0,0,1,0,0,0,0,0
38.3,123,0,0,0,0,0,0,0,0
39.0,139,0,1,0,0,0,0,0,0
39.1,91,0,0,1,0,0,0,0,0
39.2,87,0,0,0,0,0,0,0,0
38.6,85,1,1,1,0,0,0,0,1
37.8,92,1,0,0,0,0,0,0,0
37.6,49,0,1,0,0,0,0,0,0
39.1,130,0,0,1,0,0,0,0,0
37.9,101,0,0,1,1,0,1,0,2
38.6,41,0,0,0,0,0,0,0,0
38.7,59,0,0,1,0,0,0,0,0
40.3,85,1,0,0,0,0,0,0,1
39.7,103,0,0,0,0,0,0,0,0
38.3,81,1,0,0,0,0,0,0,0
37.9,102,0,0,0,0,0,0,0,0
37.7,66,0,1,1,0,0,0,0,0
38.1,104,0,0,1,0,0,0,0,0
38.8,125,1,0,0,0,0,0,0,0
37.6,94,1,0,0,0,0,0,0,0
38.5,132,0,0,0,0,0,0,0,0
37.3,67,0,0,0,0,0,0,0,0
37.6,103,0,0,1,0,0,0,0,0
38.1,101,1,0,0,0,0,0,0,0
38.7,93,1,0,0,0,0,0,0,0
40.3,114,0,1,1,0,1,0,0,2
38.8,106,1,1,1,0,0,0,0,1
38.8,94,0,0,1,0,0,0,0,0
37.7,73,0,0,0,0,0,0,0,0
40.3,109,0,0,1,0,0,0,0,1
38.7,89,0,0,0,0,0,0,0,0
36.9,133,1,0,0,0,0,0,0,2
39.3,72,0,0,1,0,0,0,0,0
37.7,122,0,0,0,0,0,0,0,0
37.5,71,0,1,1,1,0,0,0,1
39.0,107,0,0,1,0,0,0,0,0
38.3,106,1,0,1,0,0,0,0,1
39.5,141,0,0,1,0,0,0,0,0
39.3,89,0,1,0,1,0,0,0,1
38.5,99,1,0,0,0,0,0,0,0
38.0,99,1,0,0,0,0,0,0,0
38.5,85,0,0,1,0,0,1,0,2
39.4,90,1,0,0,0,0,0,1,2
38.5,67,0,1,1,0,0,0,0,0
37.2,51,1,0,1,0,0,0,0,1
39.9,83,0,0,0,0,0,0,0,1
38.6,121,0,0,1,0,0,0,0,0
38.7,62,0,0,1,0,0,0,0,0
38.2,49,1,1,1,0,0,0,0,1
38.7,84,0,0,1,0,0,0,0,0
38.7,102,0,1,0,0,0,0,1,2
37.4,95,0,1,1,0,0,0,0,0
37.7,94,0,0,1,0,0,0,0,0
37.5,67,0,0,0,0,0,0,0,0
38.7,80,0,0,0,0,0,1,0,2
39.2,93,0,0,0,0,0,0,0,0
39.9,89,1,0,0,0,0,0,0,1
37.4,84,0,1,0,0,0,0,0,0
38.6,88,1,1,0,0,0,0,0,1
37.6,146,0,0,0,0,0,0,0,0
39.1,114,1,1,0,0,0,0,0,1
39.2,80,0,0,0,0,0,0,0,0
38.3,65,1,0,0,0,0,0,0,0
38.7,128,0,1,0,1,0,0,0,1
37.7,77,0,0,0,0,0,0,0,0
39.1,98,0,0,0,0,0,0,0,0
39.6,116,0,0,0,0,0,0,0,0
37.8,123,0,0,1,0,0,0,0,0
38.7,75,0,0,0,0,0,0,0,0
38.0,85,0,0,0,0,0,1,0,2
38.8,118,0,0,0,0,0,0,0,0
39.8,155,1,0,0,0,0,0,0,1
39.1,125,0,0,1,1,0,0,0,1
38.9,106,1,0,0,1,0,0,0,1
38.8,68,0,1,0,1,0,0,0,1
38.5,109,1,0,0,0,1,0,0,2
38.0,95,0,0,0,0,0,0,0,0
39.4,80,1,1,0,0,0,0,0,1
36.2,81,0,0,0,0,0,0,0,2
38.6,104,0,1,0,0,0,0,0,0
38.7,81,0,0,1,0,0,0,0,0
38.4,78,1,0,0,0,0,0,0,0
39.3,88,0,0,1,0,0,0,0,0
38.8,170,0,0,1,0,0,0,0,1
39.6,144,0,1,0,1,0,0,0,1
39.6,105,0,0,0,0,0,0,0,0
38.7,56,1,0,0,0,0,0,0,0
38.4,76,1,0,0,0,0,0,0,0
39.6,110,1,1,0,0,0,0,0,1
37.1,32,0,0,0,0,0,0,0,0
38.6,92,0,0,0,0,0,0,0,0
38.7,82,1,0,1,0,0,0,0,1
37.3,95,0,0,0,0,0,0,0,0
40.0,118,0,0,1,0,0,0,0,1
37.6,103,0,0,0,0,0,0,0,0
37.3,171,0,0,1,0,0,0,0,1
38.9,73,0,0,1,0,0,0,0,0
39.1,95,0,0,1,0,1,0,0,2
39.7,102,0,0,0,1,0,0,0,1
39.6,84,1,1,1,0,0,0,0,1
38.9,138,0,0,1,0,0,0,0,0
37.5,83,0,0,0,0,0,0,0,0
36.8,121,1,0,1,0,0,0,0,2
38.5,86,0,0,1,1,0,0,0,1
40.1,145,0,1,0,0,0,0,0,1
38.4,115,0,0,1,0,0,0,0,0
39.0,76,0,0,1,0,0,0,0,0
38.5,96,0,1,0,1,0,0,0,1
36.5,85,0,0,1,0,0,0,0,2
39.5,123,0,0,0,0,0,0,0,0
39.5,60,0,0,0,0,0,0,0,0
38.3,108,0,0,1,0,0,0,0,0
38.9,67,0,1,0,0,0,0,0,0
36.7,69,1,1,0,0,0,0,0,2
39.5,121,0,0,0,0,0,0,0,0
38.8,114,0,0,0,0,0,0,0,0
38.9,77,1,0,0,1,0,0,0,1
37.7,76,0,0,1,0,0,0,0,0
38.0,93,0,1,1,0,0,0,0,0
39.6,105,0,1,0,0,0,0,0,0
38.7,90,0,0,0,0,0,0,0,0
39.1,111,0,0,1,0,1,0,0,2
38.4,107,0,0,1,0,0,0,0,0
39.0,79,0,1,0,1,0,0,0,1
38.1,78,0,1,0,1,0,0,0,1
37.8,157,0,1,0,0,0,0,0,0
38.9,111,0,0,0,0,0,0,0,0
37.4,111,1,0,1,0,0,0,0,1
37.9,123,1,0,0,0,0,0,0,0
39.2,122,0,1,0,0,1,0,0,2
38.2,115,0,0,1,0,0,0,0,0
39.8,96,1,0,0,0,0,0,0,1
37.0,77,0,0,0,0,0,0,0,0
38.3,129,0,0,0,0,0,0,0,0
39.3,120,1,0,1,0,1,0,0,2
38.7,124,1,1,0,0,1,0,0,2
37.8,51,1,0,0,0,0,0,0,0
39.5,115,0,1,0,0,0,0,0,0
37.6,114,0,0,0,0,0,0,0,0
37.1,67,0,0,1,0,0,0,0,0
38.2,89,0,0,0,0,0,0,0,0
38.5,80,1,0,0,0,0,0,0,0
38.6,83,0,1,0,0,0,0,0,0
38.7,63,0,0,0,0,0,0,0,0
37.3,81,0,0,0,0,0,0,0,0
37.7,134,0,1,0,0,0,0,0,0
38.5,106,0,0,0,0,0,0,0,0
39.0,99,0,0,0,0,1,0,0,2
38.9,102,0,1,0,0,0,0,0,0
39.0,108,1,0,1,0,0,0,0,1
39.3,148,0,0,0,0,0,0,0,0
37.4,137,0,0,0,0,0,0,0,0
39.0,107,0,0,1,0,1,0,0,2
39.1,87,1,0,0,0,0,0,0,0
37.9,80,0,0,1,0,0,0,0,0
37.4,79,1,1,1,0,0,0,0,1
38.9,100,0,0,0,0,0,0,0,0
38.5,76,0,0,1,0,0,0,0,0
38.6,76,0,0,1,0,0,0,0,0
38.9,113,0,0,0,0,0,0,0,0
39.3,104,0,0,0,0,0,0,0,0
37.9,73,0,0,0,0,1,0,0,2
39.6,153,0,0,1,0,0,0,0,0
38.9,63,1,0,1,0,0,0,0,1
38.5,141,0,0,0,0,0,0,0,0
37.9,98,1,0,1,0,0,0,0,1
38.7,88,1,1,0,0,0,0,0,1
39.2,83,0,0,0,0,0,0,0,0
39.3,114,0,0,0,0,0,0,0,0
39.6,107,0,0,0,0,0,1,0,2
40.3,108,0,0,1,0,1,0,0,2
38.8,117,0,0,0,0,0,0,0,0
39.8,107,0,0,0,0,0,0,0,1
38.5,112,1,0,0,0,0,0,0,0
38.3,102,0,0,0,0,0,0,0,0
39.1,130,0,0,0,0,0,0,0,0
39.0,124,1,1,0,0,0,0,0,1
37.6,94,0,0,0,0,1,0,0,2
37.5,95,1,0,0,0,0,0,0,0
38.0,97,0,1,0,0,0,0,0,0
37.6,111,0,0,1,1,0,0,0,1
38.7,130,0,1,0,0,0,0,0,0
39.6,102,0,0,1,0,0,0,0,0
39.7,63,0,0,0,1,0,0,0,1
38.0,112,0,0,0,0,0,0,0,0
38.3,81,1,0,1,0,0,0,0,1
39.1,79,0,0,0,1,0,0,0,1
39.2,62,0,0,0,0,0,0,0,0
38.5,112,0,0,0,0,0,0,0,0
38.1,123,0,1,1,0,0,0,0,0
38.4,81,0,0,0,0,0,0,0,0
38.6,129,0,0,0,0,0,0,0,0
39.6,62,1,0,1,0,0,0,0,1
39.6,90,0,0,1,0,0,0,0,0
39.1,144,0,0,0,0,0,0,0,0
37.1,96,0,0,1,0,0,0,0,0
38.3,67,1,1,1,0,1,0,0,2
38.6,71,0,0,0,0,0,0,0,0
38.8,102,0,0,0,0,1,0,1,2
38.8,67,0,0,1,0,0,0,0,0
38.2,110,0,0,1,0,0,0,0,0
38.3,111,0,0,0,0,0,0,0,0
37.2,97,1,1,1,0,0,0,0,1
38.1,92,1,0,0,0,0,0,0,0
39.6,109,0,0,0,0,0,0,0,0
38.6,117,0,0,1,0,0,0,1,2
38.1,126,1,1,0,0,0,0,0,1
38.6,93,0,0,1,0,0,0,0,0
38.2,123,1,0,0,0,0,0,0,0
38.0,104,1,0,0,0,0,0,0,0
38.7,140,0,0,0,0,0,0,0,0
38.6,89,0,0,1,0,0,0,0,0
38.1,109,1,0,0,0,0,0,0,0
38.3,78,1,0,0,0,0,0,0,0
38.9,109,0,0,0,0,0,0,0,0
38.2,123,0,1,1,0,0,0,0,0
39.1,85,0,1,1,0,0,0,0,0
38.7,110,0,0,1,1,1,0,0,2
38.3,130,0,0,0,0,0,0,0,0
39.2,66,0,0,1,0,1,0,0,2
37.9,68,0,0,0,0,0,0,0,0
38.2,77,0,0,0,0,0,0,0,0
38.7,110,0,0,0,0,0,0,0,0
37.8,99,1,0,1,1,0,0,0,1
39.3,77,1,1,0,0,0,0,0,1
38.7,97,0,0,1,0,0,0,0,0
36.2,89,1,0,1,0,0,0,0,2
39.9,135,1,0,1,0,0,0,0,1
39.2,44,1,0,1,0,0,0,0,1
38.5,99,0,0,0,0,0,0,0,0
36.8,108,0,0,0,0,0,0,0,2
38.2,98,1,0,0,0,0,0,0,0
39.6,130,0,0,0,0,0,0,0,0
38.8,106,0,0,0,0,0,0,0,0
38.0,100,0,1,0,0,0,0,0,0
38.8,118,1,1,1,0,0,0,0,1
39.9,118,0,0,0,0,0,0,0,1
38.1,135,0,0,1,1,0,0,0,1
38.1,94,0,1,0,0,1,0,0,2
37.2,102,0,0,1,0,1,0,0,2
37.9,62,1,0,1,0,0,0,0,1
39.0,99,1,0,1,0,0,0,1,2
37.0,56,1,0,1,0,0,0,0,1
39.5,108,1,0,0,0,0,0,0,0
38.5,61,0,0,0,0,0,0,0,0
38.2,97,0,0,0,0,0,0,0,0
38.8,57,0,1,1,0,0,0,0,0
39.9,125,0,1,0,0,0,0,0,1
38.0,153,0,0,0,0,0,0,0,0
40.6,110,0,1,1,0,0,0,0,2
38.1,64,1,0,0,0,0,0,0,0
38.5,121,0,1,1,0,0,0,0,0
37.5,69,1,0,0,0,0,0,0,0
38.8,101,0,1,1,0,0,0,0,0
38.7,74,0,0,0,0,0,0,0,0
39.5,144,1,0,0,0,0,0,0,0
39.1,93,0,1,1,0,0,0,0,0
38.8,103,1,1,0,0,1,0,0,2
37.8,74,1,0,0,0,0,0,0,0
39.6,70,0,0,1,0,0,0,0,0
37.5,83,0,0,0,0,0,0,0,0
38.0,71,1,1,1,0,0,0,0,1
39.4,115,1,0,1,0,0,0,0,1
39.8,107,0,0,0,0,0,0,0,1
37.8,122,0,1,0,0,0,0,0,0
38.2,131,1,0,0,0,0,0,0,0
39.1,107,1,0,0,0,0,0,0,0
38.0,48,0,0,0,1,0,0,0,1
37.3,109,1,0,0,1,0,0,0,1
38.0,133,0,1,0,0,0,0,0,0
38.8,110,0,0,1,0,0,0,0,0
37.8,121,0,0,1,0,0,0,0,0
39.9,91,0,0,0,0,0,0,0,1
38.4,94,0,1,1,0,0,0,0,0
39.6,116,1,0,1,0,0,0,0,1
38.6,109,0,1,0,0,0,0,0,0
37.8,80,0,1,1,0,0,0,1,2
38.7,102,0,0,0,0,0,0,0,0
39.7,89,0,0,0,0,0,0,0,0
39.7,82,1,0,0,0,0,0,0,0
38.7,111,1,0,0,0,0,0,0,0
39.2,134,0,1,0,0,0,0,0,0
38.9,103,0,1,1,0,0,0,0,0
40.0,100,0,1,1,0,0,0,0,1
38.5,93,1,0,0,0,0,0,0,0
38.8,70,1,0,1,0,0,0,0,1
38.3,100,0,0,1,0,0,0,0,0
38.6,86,0,1,0,0,0,0,0,0
38.9,79,0,0,1,0,0,0,0,0
38.1,80,0,0,1,0,0,0,1,2
37.4,145,1,0,1,0,0,0,0,1
38.6,98,1,0,0,0,0,0,0,0
39.6,158,1,0,1,1,0,0,0,1
39.3,52,0,0,0,0,0,0,0,0
38.5,82,0,0,0,0,0,0,0,0
38.0,146,0,1,0,0,0,0,0,0
37.9,78,1,0,0,0,0,0,0,0
39.4,91,0,1,0,0,0,0,0,0
37.5,133,0,0,0,0,0,0,0,0
37.7,80,0,0,0,0,0,0,0,0
40.0,111,0,1,0,1,0,0,0,1
39.4,145,0,0,1,0,0,0,0,0
38.2,125,0,1,0,0,0,0,0,0
38.1,83,0,0,0,1,0,0,0,1
38.7,125,0,0,0,0,0,0,0,0
38.7,69,1,0,0,0,0,0,0,0
36.6,108,0,0,0,0,0,0,0,2
38.5,63,0,1,0,0,0,0,0,0
38.8,106,1,0,0,0,0,0,0,0
39.2,69,0,0,1,1,0,0,0,1
39.3,130,0,0,1,0,0,0,1,2
38.4,98,0,0,1,0,0,0,0,0
38.6,72,1,0,0,0,0,0,0,0
37.8,121,0,0,0,0,0,0,0,0
37.4,66,1,0,0,0,0,0,1,2
38.2,95,1,1,1,0,0,0,0,1
39.4,94,0,0,0,0,0,0,0,0
39.2,102,0,1,1,0,0,0,0,0
39.5,57,0,0,0,0,0,0,0,0
38.6,79,0,1,1,0,0,0,0,0
39.2,139,0,1,0,0,0,0,0,0
36.9,88,0,0,0,0,0,0,0,2
39.1,125,0,0,1,0,1,0,0,2
37.5,94,0,1,1,0,0,0,0,0
39.3,94,0,0,1,0,0,0,0,0
39.1,119,0,0,1,0,0,0,0,0
38.5,97,0,1,0,0,0,0,0,0
38.6,109,0,0,1,1,0,0,0,1
37.2,139,0,1,0,0,0,0,0,0
38.6,97,0,0,0,0,0,0,0,0
37.9,136,0,0,1,0,0,0,0,0
38.3,67,0,0,0,0,0,0,0,0
38.9,108,0,0,1,0,0,0,0,0
38.5,94,1,0,1,0,0,0,0,1
38.7,109,0,0,0,0,0,0,0,0
38.3,88,0,0,0,0,0,0,0,0
37.5,71,1,1,1,0,0,0,1,2
37.3,124,0,0,0,0,0,0,0,0
39.0,115,1,0,1,0,0,0,0,1
38.0,119,0,0,0,0,0,0,0,0
38.9,119,0,0,0,1,0,0,0,1
37.1,30,1,0,0,0,0,0,0,0
39.2,126,0,0,1,0,1,0,0,2
40.7,72,0,0,0,0,0,0,0,2
38.5,87,0,0,0,0,0,0,0,0
38.5,96,1,0,0,0,1,0,0,2
38.1,106,0,0,0,0,0,0,0,0
38.8,107,0,1,0,0,0,0,0,0
38.9,64,1,0,1,0,0,0,0,1
38.7,114,0,0,0,0,0,0,0,0
38.0,67,0,0,1,0,0,0,0,0
37.1,113,1,1,1,0,0,0,0,1
37.6,54,1,0,0,0,0,0,0,0
39.2,142,0,0,1,1,0,0,0,1
38.3,104,0,0,0,0,0,0,0,0
38.2,63,0,0,0,0,0,0,0,0
39.2,57,0,1,0,0,0,0,0,0
38.5,84,1,0,1,0,0,0,1,2
38.0,63,1,1,0,0,0,0,0,1
38.4,99,0,0,0,0,0,0,0,0
37.9,140,0,0,1,0,0,0,0,0
38.9,129,0,0,0,0,0,0,0,0
39.7,73,0,0,0,0,0,0,0,0
38.9,177,0,1,1,0,0,0,0,1
39.3,130,0,0,1,0,0,0,0,0
36.9,88,0,0,0,0,0,0,0,2
38.9,32,0,0,0,0,0,0,0,0
38.9,128,0,1,1,0,1,0,0,2
38.5,117,1,0,0,0,0,0,0,0
39.5,101,0,0,1,0,0,0,0,0
38.1,76,0,0,1,0,0,0,0,0
38.3,74,0,0,0,0,0,0,0,0
38.8,96,0,1,1,0,0,1,0,2
39.6,99,0,0,1,0,0,0,0,0
38.4,116,1,0,1,0,0,0,0,1
38.8,139,0,0,1,0,1,0,0,2
37.5,98,1,0,1,0,0,0,0,1
37.1,86,1,0,1,0,0,0,0,1
39.3,127,0,0,0,0,0,0,0,0
39.4,111,1,0,0,0,0,0,0,0
37.8,113,0,0,1,0,0,0,0,0
39.4,55,1,1,1,0,0,0,0,1
38.6,80,0,1,1,0,0,0,0,0
39.3,126,0,0,0,0,0,0,0,0
37.9,78,0,0,1,1,0,0,0,1
39.6,106,0,1,1,1,1,0,0,2
37.6,112,1,1,1,0,0,0,0,1
39.4,102,0,1,0,1,0,0,1,2
39.0,73,1,0,1,0,0,0,0,1
38.5,82,0,0,1,0,1,0,0,2
39.4,140,0,0,0,0,0,0,1,2
39.5,129,0,0,0,0,0,0,0,0
39.8,87,0,1,1,0,0,0,0,1
39.6,83,1,1,1,0,0,0,0,1
39.8,93,0,0,0,0,0,0,0,1
39.7,131,0,0,1,0,0,0,0,0
38.1,95,1,0,0,0,0,0,0,0
37.6,116,0,1,0,0,0,0,0,0
37.8,101,1,0,0,0,0,0,0,0
38.6,100,0,0,1,0,0,1,0,2
39.0,116,1,0,0,0,0,0,0,0
39.1,109,0,0,0,0,0,0,0,0
37.8,109,1,0,0,0,0,0,0,0
38.4,67,0,0,0,0,0,0,0,0
38.8,96,1,0,1,0,0,0,0,1
37.5,126,1,1,0,0,0,0,0,1
37.7,130,0,0,1,0,0,0,0,0
39.2,113,0,0,1,0,0,0,0,0
38.7,72,0,0,0,0,0,0,0,0
38.8,87,0,0,0,1,0,0,0,1
38.5,64,1,1,0,0,1,0,0,2
38.4,91,0,0,0,0,0,1,0,2
38.9,98,0,0,0,0,0,0,0,0
37.8,97,0,1,1,0,0,0,0,0
38.5,135,0,0,0,0,0,0,0,0
38.2,123,0,0,0,0,0,0,0,0
37.9,83,0,1,0,1,0,0,0,1
38.2,125,0,0,0,0,0,0,0,0
38.4,152,0,0,1,0,0,0,0,0
38.6,157,0,1,0,0,0,0,0,0
39.7,57,0,0,1,0,0,0,1,2
37.9,69,0,0,0,0,0,0,0,0
39.2,94,1,0,1,0,0,0,0,1
39.2,131,1,0,1,0,0,0,0,1
38.9,96,0,0,0,0,0,0,0,0
38.5,94,0,0,0,0,0,0,0,0
40.1,110,0,0,0,0,0,1,0,2
39.6,111,1,0,0,0,0,0,0,0
37.7,153,1,1,1,0,0,0,0,1
37.8,70,0,0,0,0,0,0,0,0
38.8,153,0,0,0,0,0,0,0,0
36.9,110,0,0,1,0,0,1,0,2
39.1,99,0,1,1,0,0,0,0,0
38.6,58,1,0,0,0,0,0,0,0
38.4,95,0,1,0,0,0,0,0,0
37.8,83,0,0,0,0,0,0,0,0
38.7,79,1,0,0,0,1,1,0,2
38.4,102,1,0,1,0,0,0,0,1
37.6,98,1,0,0,0,0,0,0,0
40.5,113,1,0,0,0,0,0,0,1
38.1,129,0,0,1,0,0,0,0,0
38.0,120,0,1,0,0,0,0,0,0
38.8,103,1,0,1,0,0,0,0,1
40.0,112,1,1,0,0,0,0,0,1
38.4,59,0,0,1,0,0,0,0,0
38.8,81,0,0,0,0,0,0,0,0
38.2,99,0,0,0,0,0,0,0,0
37.4,84,1,0,0,0,0,0,0,0
39.0,99,0,0,1,0,0,0,0,0
39.6,81,0,0,0,0,0,0,0,0
38.4,70,0,0,0,0,0,0,0,0
37.7,73,1,0,1,0,0,0,0,1
37.1,107,0,0,1,0,0,1,0,2
37.9,103,0,0,0,0,0,0,0,0
39.4,92,0,0,0,0,0,0,0,0
39.0,87,0,0,1,0,0,0,0,0
39.2,127,0,0,1,0,0,0,0,0
39.0,140,0,0,0,0,0,0,0,0
37.2,92,0,1,0,0,0,0,0,0
39.3,66,0,0,1,0,0,0,0,0
38.2,115,1,0,0,0,0,0,0,0
37.7,60,1,0,1,0,0,0,0,1
38.9,72,0,0,1,1,0,0,0,1
38.9,100,0,0,1,0,0,0,0,0
39.1,91,1,0,1,0,0,0,0,1
38.9,52,0,0,0,0,0,0,0,0
38.0,94,0,0,0,0,0,0,0,0
38.2,90,0,0,0,0,0,0,0,0
38.1,107,0,1,0,0,0,0,0,0
38.3,100,0,0,1,0,0,0,0,0
38.8,108,1,0,0,1,0,0,0,1
39.1,98,0,0,1,1,0,0,0,1
37.6,77,0,0,1,0,0,0,0,0
38.0,86,0,0,1,0,0,0,0,0
38.9,95,0,0,0,0,0,0,0,0
38.6,124,1,0,0,0,0,0,0,0
37.5,147,0,0,1,0,0,0,0,0
38.8,105,0,0,1,0,0,0,0,0
38.0,88,0,0,1,0,0,0,0,0
37.6,48,0,0,1,0,0,0,0,0
38.1,105,1,1,0,0,0,0,0,1
39.5,61,0,0,0,0,0,0,0,0
37.6,160,0,0,0,0,0,0,0,0
39.3,67,0,1,0,0,0,0,0,0
39.9,102,1,0,1,0,0,0,0,1
39.0,95,0,0,0,1,0,0,0,1
39.2,100,1,0,0,0,0,0,0,0
37.8,121,0,0,1,1,0,0,0,1
40.4,138,1,0,0,0,0,0,0,1
39.9,94,0,0,0,0,0,0,0,1
38.6,136,1,0,1,1,0,0,0,1
39.3,117,0,0,0,0,0,0,0,0
38.2,65,0,0,0,0,0,0,0,0
38.7,107,1,0,0,0,0,0,0,0
38.7,69,1,1,0,0,0,0,0,1
39.8,98,1,1,0,0,0,0,0,1
39.9,108,0,0,1,0,0,0,0,1
38.7,113,0,1,1,0,0,0,0,0
38.2,86,0,0,1,0,0,0,0,0
39.0,72,1,1,1,0,1,0,0,2
39.0,95,0,1,1,0,0,0,0,0
38.6,97,0,0,1,0,0,1,0,2
37.7,38,0,1,0,0,0,0,0,0
